order_item_id,order_id,product_id,quantity,unit_price
OI0001201,O000501,P0028,4,102.04
OI0001202,O000501,P0027,4,144.52
OI0001203,O000501,P0030,1,83.15
OI0001204,O000502,P0020,2,6.72
OI0001205,O000502,P0038,3,26.72
OI0001206,O000502,P0009,3,13.64
OI0001207,O000503,P0049,4,120.41
OI0001208,O000503,P0004,1,9.23
OI0001209,O000503,P0004,3,9.23
OI0001210,O000504,P0004,1,9.23
OI0001211,O000504,P0048,1,170.8
OI0001212,O000504,P0045,2,138.66
OI0001213,O000505,P0041,2,64.29
OI0001214,O000505,P0020,3,6.72
OI0001215,O000505,P0047,1,104.29
OI0001216,O000506,P0008,1,151.03
OI0001217,O000506,P0016,2,74.11
OI0001218,O000506,P0007,4,61.86
OI0001219,O000507,P0031,2,75.47
OI0001220,O000507,P0016,3,74.11
OI0001221,O000507,P0040,4,157.66
OI0001222,O000508,P0048,2,170.8
OI0001223,O000508,P0011,2,151.78
OI0001224,O000508,P0031,4,75.47
OI0001225,O000509,P0026,4,153.84
OI0001226,O000509,P0045,1,138.66
OI0001227,O000509,P0030,4,83.15
OI0001228,O000510,P0020,1,6.72
OI0001229,O000510,P0042,4,148.78
OI0001230,O000510,P0003,3,131.59
OI0001231,O000511,P0023,2,86.09
OI0001232,O000511,P0023,4,86.09
OI0001233,O000512,P0009,3,13.64
OI0001234,O000512,P0049,3,120.41
OI0001235,O000513,P0039,2,126.9
OI0001236,O000513,P0037,3,44.42
OI0001237,O000514,P0002,2,80.99
OI0001238,O000514,P0015,1,9.01
OI0001239,O000515,P0050,2,17.67
OI0001240,O000515,P0007,2,61.86
OI0001241,O000516,P0008,1,151.03
OI0001242,O000516,P0048,1,170.8
OI0001243,O000517,P0045,4,138.66
OI0001244,O000517,P0025,2,111.61
OI0001245,O000518,P0019,2,120.6
OI0001246,O000518,P0013,2,139.09
OI0001247,O000519,P0043,1,114.97
OI0001248,O000519,P0014,1,141.0
OI0001249,O000520,P0044,4,171.07
OI0001250,O000520,P0013,2,139.09
