order_id,customer_id,order_date,status,payment_method,shipping_city,discount_amount
O000501,C0013,2026-04-01,delivered,bank_transfer,Lille,2.34
O000502,C0072,2026-04-01,processing,paypal,Lyon,0.0
O000503,C0007,2026-04-05,shipped,card,Nantes,0.0
O000504,C0084,2026-04-01,delivered,card,Bordeaux,6.91
O000505,C0067,2026-04-01,delivered,paypal,Marseille,0.0
O000506,C0063,2026-04-04,delivered,card,Lyon,0.0
O000507,C0004,2026-04-06,delivered,paypal,Paris,0.0
O000508,C0085,2026-04-04,delivered,card,Paris,0.0
O000509,C0038,2026-04-02,delivered,bank_transfer,Strasbourg,3.34
O000510,C0055,2026-04-01,delivered,paypal,Lyon,0.11
O000511,C0018,2026-04-03,processing,paypal,Bordeaux,0.0
O000512,C0066,2026-04-01,delivered,card,Lille,2.3
O000513,C0051,2026-04-01,processing,bank_transfer,Strasbourg,9.63
O000514,C0017,2026-04-05,delivered,bank_transfer,Lille,0.68
O000515,C0086,2026-04-01,delivered,bank_transfer,Strasbourg,3.8
O000516,C0094,2026-04-06,delivered,paypal,Lyon,0.0
O000517,C0057,2026-04-05,delivered,bank_transfer,Paris,0.0
O000518,C0082,2026-04-04,delivered,card,Bordeaux,4.38
O000519,C0056,2026-04-05,delivered,card,Lyon,0.0
O000520,C0018,2026-04-06,delivered,paypal,Rennes,0.0
